CompanyName	Value(1000s)	Shares	OrderType
AXT INC	418	87006	Market
AZZ INC	130253	2038381	Market
B & G FOODS INC NEW	224909	5134914	Market
B RILEY FINL INC	5567	301716	Market
B/E AEROSPACE INC	282640	4695803	Market
B2GOLD CORP	192	80873	Market
BABCOCK & WILCOX ENTERPRIS I	23471	1414788	Market
BADGER METER INC	81524	2206322	Market
BAIDU INC	630576	3835389	Market
BAKER HUGHES INC	569459	8764948	Market
BALCHEM CORP	203794	2428436	Market
BALDWIN & LYONS INC	4	175	Market
BALDWIN & LYONS INC	7952	315557	Market
BALL CORP	236413	3149239	Market
BALLANTYNE STRONG INC	265	33134	Market
BANC OF CALIFORNIA INC	68845	3968001	Market
BANCFIRST CORP	22307	239727	Market
BANCO BRADESCO S A	63934	7340271	Market
BANCO DE CHILE	320	4540	Market
BANCO MACRO SA	12639	196416	Market
BANCO SANTANDER CHILE NEW	9026	412706	Market
BANCOLOMBIA S A	10991	299640	Market
BANCORP INC DEL	12967	1649797	Market
BANCORP NEW JERSEY INC NEW	22	1617	Market
BANCORPSOUTH INC	166263	5354695	Market
BANK AMER CORP	3033819	137276898	Market
BANK COMM HLDGS	457	48076	Market
BANK HAWAII CORP	365157	4117231	Market
BANK MUTUAL CORP NEW	32413	3429978	Market
BANK NEW YORK MELLON CORP	674449	14234882	Market
BANK OF MARIN BANCORP	13669	195966	Market
BANK OF NT BUTTERFIELD&SON L	11617	369484	Market
BANK OF THE OZARKS INC	283371	5388303	Market
BANK OF THE ST JAMES FINL GP	12	775	Market
BANK SOUTH CAROLINA CORP	18	873	Market
BANKFINANCIAL CORP	7546	509184	Market
BANKRATE INC DEL	16238	1469518	Market
BANKUNITED INC	46441	1232178	Market
BANKWELL FINL GROUP INC	6394	196731	Market
BANNER CORP	125347	2245951	Market
BAOZUN INC	112	9311	Market
BAR HBR BANKSHARES	9586	202531	Market
BARCLAYS BANK PLC	275715	10795438	Market
BARCLAYS BANK PLC	144281	5684858	Market
BARD C R INC	472589	2103573	Market
BARNES & NOBLE ED INC	37610	3279025	Market
BARNES & NOBLE INC	53042	4757148	Market
BARNES GROUP INC	188888	3983293	Market
BARNWELL INDS INC	1	747	Market
BARRACUDA NETWORKS INC	15070	703228	Market
BARRETT BILL CORP	37208	5323079	Market
BARRETT BUSINESS SERVICES IN	14494	226116	Market
BARRICK GOLD CORP	13822	864955	Market
BASIC ENERGY SVCS INC NEW	5	152	Market
BASSETT FURNITURE INDS INC	10205	335694	Market
BATS GLOBAL MKTS INC	244	7278	Market
BAXTER INTL INC	409234	9229459	Market
BAY BANCORP INC	17	2630	Market
BAYTEX ENERGY CORP	2	329	Market
BAZAARVOICE INC	13101	2701183	Market
BB&T CORP	675679	14370033	Market
BBVA BANCO FRANCES S A	3886	222948	Market
BCB BANCORP INC	411	31577	Market
BEACON ROOFING SUPPLY INC	96180	2087686	Market
BEAR ST FINL INC	5998	590951	Market
BEASLEY BROADCAST GROUP INC	39	6379	Market
BEAZER HOMES USA INC	21268	1599114	Market
